ID PUMA,PUMA,ID Year,Year,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation
"79500US0601500","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA, CA",2017,"2017",17252.475165562915,20159.739032402544,10,"del-norte-lassen-modoc-plumas-siskiyou-counties-puma-ca","Social workers","211020","social-workers"
"79500US0601902","Fresno City (North) PUMA, CA",2017,"2017",46347.89497716895,25535.752154755675,7,"fresno-city-north-puma-ca","Social workers","211020","social-workers"
"79500US0601904","Fresno City (Southwest) PUMA, CA",2017,"2017",36590.93103448276,12928.554557901554,8,"fresno-city-southwest-puma-ca","Social workers","211020","social-workers"
"79500US0602500","El Centro City PUMA, CA",2017,"2017",50627.806526806526,21806.865038880376,5,"el-centro-city-puma-ca","Social workers","211020","social-workers"
"79500US0602905","Ridgecrest, Arvin, Tehachapi & California City Cities PUMA, CA",2017,"2017",26946.36211340206,21447.584774931627,5,"ridgecrest-arvin-tehachapi-california-city-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603701","Castaic PUMA, CA",2017,"2017",65129.76623376623,24510.584714309512,5,"castaic-puma-ca","Social workers","211020","social-workers"
"79500US0603702","Santa Clarita City PUMA, CA",2017,"2017",39627.383347788375,17017.381961299594,12,"santa-clarita-city-puma-ca","Social workers","211020","social-workers"
"79500US0603703","Lancaster City PUMA, CA",2017,"2017",39832.913725490194,26201.936574564497,6,"lancaster-city-puma-ca","Social workers","211020","social-workers"
"79500US0603705","LA City (Northwest/Chatsworth & Porter Ranch) PUMA, CA",2017,"2017",62568.516949152545,18063.58688499258,11,"la-city-northwestchatsworth-porter-ranch-puma-ca","Social workers","211020","social-workers"
"79500US0603706","LA City (North Central/Granada Hills & Sylmar) PUMA, CA",2017,"2017",54192.38441215324,17596.10685950092,7,"la-city-north-centralgranada-hills-sylmar-puma-ca","Social workers","211020","social-workers"
"79500US0603707","LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, CA",2017,"2017",35548.21681415929,21983.898589926437,5,"la-north-centralarleta-pacoima-san-fernando-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603709","San Gabriel Valley Region (North) PUMA, CA",2017,"2017",52819.515704154,20757.149644081397,7,"san-gabriel-valley-region-north-puma-ca","Social workers","211020","social-workers"
"79500US0603715","West Covina City PUMA, CA",2017,"2017",45700.12962962963,56543.031893261556,6,"west-covina-city-puma-ca","Social workers","211020","social-workers"
"79500US0603717","Arcadia, San Gabriel & Temple City Cities PUMA, CA",2017,"2017",53494.73647294589,21555.807140915207,8,"arcadia-san-gabriel-temple-city-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603719","Glendale City PUMA, CA",2017,"2017",53678.92896935933,30036.94137309762,9,"glendale-city-puma-ca","Social workers","211020","social-workers"
"79500US0603724","LA City (Northwest/Encino & Tarzana) PUMA, CA",2017,"2017",63599.818777292574,31469.892840712666,6,"la-city-northwestencino-tarzana-puma-ca","Social workers","211020","social-workers"
"79500US0603725","LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA, CA",2017,"2017",50564.32797427653,33924.38218065627,5,"la-city-northwestcanoga-park-winnetka-woodland-hills-puma-ca","Social workers","211020","social-workers"
"79500US0603727","LA City (Central/Pacific Palisades) PUMA, CA",2017,"2017",71969.58661417323,24709.61635415823,6,"la-city-centralpacific-palisades-puma-ca","Social workers","211020","social-workers"
"79500US0603734","LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA",2017,"2017",46008.3031496063,21834.864588977638,13,"la-city-east-centralsilver-lake-echo-park-westlake-puma-ca","Social workers","211020","social-workers"
"79500US0603735","LA City (Mount Washington, Highland Park & Glassell Park) PUMA, CA",2017,"2017",50820.604150653344,13124.32812716256,16,"la-city-mount-washington-highland-park-glassell-park-puma-ca","Social workers","211020","social-workers"
"79500US0603736","Alhambra & South Pasadena Cities PUMA, CA",2017,"2017",67130.77976952624,27848.591915248242,10,"alhambra-south-pasadena-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603739","Whittier City & Hacienda Heights PUMA, CA",2017,"2017",54347.157949790795,27887.623240930647,12,"whittier-city-hacienda-heights-puma-ca","Social workers","211020","social-workers"
"79500US0603740","Pico Rivera & Montebello Cities PUMA, CA",2017,"2017",40893.47438752784,19699.20272720198,5,"pico-rivera-montebello-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603741","Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA, CA",2017,"2017",47733.769035533,19118.15862402568,5,"bell-gardens-bell-maywood-cudahy-commerce-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603743","East Los Angeles PUMA, CA",2017,"2017",36438.55303030303,22553.459822372442,5,"east-los-angeles-puma-ca","Social workers","211020","social-workers"
"79500US0603744","LA City (East Central/Central City & Boyle Heights) PUMA, CA",2017,"2017",26130.914634146342,17322.02287996698,8,"la-city-east-centralcentral-city-boyle-heights-puma-ca","Social workers","211020","social-workers"
"79500US0603747","LA City (Central/West Adams & Baldwin Hills) PUMA, CA",2017,"2017",46810.51390433816,26234.972334906724,7,"la-city-centralwest-adams-baldwin-hills-puma-ca","Social workers","211020","social-workers"
"79500US0603749","Inglewood City PUMA, CA",2017,"2017",55882.734513274336,29246.882619195545,5,"inglewood-city-puma-ca","Social workers","211020","social-workers"
"79500US0603750","LA City (South Central/Westmont) PUMA, CA",2017,"2017",41265.81213307241,11512.208986787016,8,"la-city-south-centralwestmont-puma-ca","Social workers","211020","social-workers"
"79500US0603751","LA City (South Central/Watts) PUMA, CA",2017,"2017",38449.5831809872,27472.761320272453,6,"la-city-south-centralwatts-puma-ca","Social workers","211020","social-workers"
"79500US0603753","Downey City PUMA, CA",2017,"2017",40067.96727748691,19251.550542716508,7,"downey-city-puma-ca","Social workers","211020","social-workers"
"79500US0603756","Bellflower & Paramount Cities PUMA, CA",2017,"2017",45036.80528846154,14174.585955644236,5,"bellflower-paramount-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603763","Long Beach City (North) PUMA, CA",2017,"2017",46986.9419525066,39984.78576998732,5,"long-beach-city-north-puma-ca","Social workers","211020","social-workers"
"79500US0603764","Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA, CA",2017,"2017",68619.65015015015,33541.17504732936,8,"lakewood-cerritos-artesia-hawaiian-gardens-cities-puma-ca","Social workers","211020","social-workers"
"79500US0603766","Long Beach City (Southwest & Port) PUMA, CA",2017,"2017",40201.85358255452,20247.440296413988,7,"long-beach-city-southwest-port-puma-ca","Social workers","211020","social-workers"
"79500US0603767","LA City (South/San Pedro) PUMA, CA",2017,"2017",54844.7054054054,17481.307607082883,7,"la-city-southsan-pedro-puma-ca","Social workers","211020","social-workers"
"79500US0604102","San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA",2017,"2017",13532.507014028057,22081.202103363157,5,"san-rafael-south-mill-valley-sausalito-cities-puma-ca","Social workers","211020","social-workers"
"79500US0604702","Merced & Atwater Cities PUMA, CA",2017,"2017",42255.12200956938,22393.995457146408,5,"merced-atwater-cities-puma-ca","Social workers","211020","social-workers"
"79500US0605301","Seaside, Monterey, Marina & Pacific Grove Cities PUMA, CA",2017,"2017",62667.2342064715,26223.644017917693,8,"seaside-monterey-marina-pacific-grove-cities-puma-ca","Social workers","211020","social-workers"
"79500US0605302","Salinas City PUMA, CA",2017,"2017",65307.860869565215,27305.1970401735,5,"salinas-city-puma-ca","Social workers","211020","social-workers"
"79500US0605303","Monterey (South & East) & San Benito Counties PUMA, CA",2017,"2017",40387.665384615386,24005.41436348999,5,"monterey-south-east-san-benito-counties-puma-ca","Social workers","211020","social-workers"
"79500US0605500","Napa City PUMA, CA",2017,"2017",50328.94465290807,17556.817822393296,11,"napa-city-puma-ca","Social workers","211020","social-workers"
"79500US0605901","San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA",2017,"2017",37731.954296160875,15685.777578902627,5,"san-clemente-laguna-niguel-san-juan-capistrano-cities-puma-ca","Social workers","211020","social-workers"
"79500US0605906","Yorba Linda, La Habra & Brea Cities PUMA, CA",2017,"2017",58843.165562913906,22368.448959975514,6,"yorba-linda-la-habra-brea-cities-puma-ca","Social workers","211020","social-workers"
"79500US0605907","Fullerton & Placentia Cities PUMA, CA",2017,"2017",46887.82304526749,29077.491324169434,8,"fullerton-placentia-cities-puma-ca","Social workers","211020","social-workers"
"79500US0606502","Cathedral City, Palm Springs & Rancho Mirage Cities PUMA, CA",2017,"2017",52480.87873754153,30806.366718740963,12,"cathedral-city-palm-springs-rancho-mirage-cities-puma-ca","Social workers","211020","social-workers"
