ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation
"17302X","Other engineering technologists and technicians, except drafters",2019,"2019","true","true",58146.827650355044,1603.5971543875396,4070,"other-engineering-technologists-and-technicians-except-drafters"
"173031","Surveying & mapping technicians",2019,"2019","true","true",54783.36423698074,3920.7059033892087,686,"surveying-mapping-technicians"
"191010","Agricultural & food scientists",2019,"2019","true","true",76988.62992238635,9727.735266074347,332,"agricultural-food-scientists"
"191020","Biological scientists",2019,"2019","true","true",71864.47238923122,4266.505321044655,1079,"biological-scientists"
"191030","Conservation scientists & foresters",2019,"2019","true","true",61826.39754893317,4755.491271842572,312,"conservation-scientists-foresters"
"1910XX","Medical scientists, & life scientists, all other",2019,"2019","true","true",96175.28805263234,5369.58132946073,1483,"medical-scientists-life-scientists-all-other"
"192010","Astronomers & physicists",2019,"2019","true","true",121304.3172541744,13218.2517514414,169,"astronomers-physicists"
"192021","Atmospheric & space scientists",2019,"2019","true","true",88907.92680019075,11827.037649593694,136,"atmospheric-space-scientists"
"192030","Chemists & materials scientists",2019,"2019","true","true",88115.0875835448,4753.400488991492,1125,"chemists-materials-scientists"
"192041","Environmental scientists and specialists, including health",2019,"2019","true","true",73879.59523127036,5479.785015241996,405,"environmental-scientists-and-specialists-including-health"
"19204X","Geoscientists and hydrologists, except geographers",2019,"2019","true","true",109343.74914027957,11350.477869232562,489,"geoscientists-and-hydrologists-except-geographers"
"192099","Other Physical Scientists",2019,"2019","true","true",92888.3994319569,3280.74847109943,3338,"other-physical-scientists"
"193011","Economists",2019,"2019","true","true",125157.82064721969,14836.436666212208,313,"economists"
"193033","Clinical and counseling psychologists",2019,"2019","true","true",86846.86904089907,10635.304847056064,211,"clinical-and-counseling-psychologists"
"193034","School psychologists",2019,"2019","true","true",69515.75822654726,3238.909492535596,522,"school-psychologists"
"19303X","Other psychologists",2019,"2019","true","true",78536.65005110789,4174.818398154155,1326,"other-psychologists"
"193051","Urban & regional planners",2019,"2019","true","true",83504.65655100984,7440.054703962634,417,"urban-regional-planners"
"1930XX","Miscellaneous social scientists, including survey researchers & sociologists",2019,"2019","true","true",72581.19578215611,7249.4908982292545,587,"miscellaneous-social-scientists-including-survey-researchers-sociologists"
"194010","Agricultural and food science technicians",2019,"2019","true","true",48035.57434705072,3627.945186960722,484,"agricultural-and-food-science-technicians"
"194021","Biological technicians",2019,"2019","true","true",57182.134510664044,10402.028806354321,278,"biological-technicians"
"194031","Chemical technicians",2019,"2019","true","true",55963.426233963124,2774.0067784505595,702,"chemical-technicians"
"1940XX","Geological & petroleum technicians, & nuclear technicians",2019,"2019","true","true",67349.35038886615,8155.525392597729,230,"geological-petroleum-technicians-nuclear-technicians"
"1940YY","Miscellaneous life, physical, & social science technicians, including social science research assistants",2019,"2019","true","true",40720.245399186875,1934.3434518907934,2324,"miscellaneous-life-physical-social-science-technicians-including-social-science-research-assistants"
"195010","Occupational health and safety specialists and technicians",2019,"2019","true","true",70070.32217715557,4140.520543152445,799,"occupational-health-and-safety-specialists-and-technicians"
"211011","Substance abuse and behavioral disorder counselors",2019,"2019","true","true",40440.61083040171,2154.276344657324,1159,"substance-abuse-and-behavioral-disorder-counselors"
"211012","Educational, guidance, and career counselors and advisors",2019,"2019","true","true",49786.09826494332,1323.0333979593877,3806,"educational-guidance-and-career-counselors-and-advisors"
"211013","Marriage and family therapists",2019,"2019","true","true",42348.993921861795,3967.705797342345,293,"marriage-and-family-therapists"
"211014","Mental health counselors",2019,"2019","true","true",44824.53397907921,2262.380278061437,1169,"mental-health-counselors"
"211015","Rehabilitation counselors",2019,"2019","true","true",50417.585192536724,5101.122012715829,257,"rehabilitation-counselors"
"211019","Counselors, all other",2019,"2019","true","true",39012.18590949109,1717.7310819420345,1744,"counselors-all-other"
"211021","Child, family, and school social workers",2019,"2019","true","true",46010.48008818091,2167.4742083969522,640,"child-family-and-school-social-workers"
"211022","Healthcare social workers",2019,"2019","true","true",47961.832331847254,2324.9747979551144,807,"healthcare-social-workers"
"211023","Mental health and substance abuse social workers",2019,"2019","true","true",60120.5749415157,7099.150622291244,207,"mental-health-and-substance-abuse-social-workers"
"211029","Social workers, all other",2019,"2019","true","true",49438.04831874856,841.6106163601753,6688,"social-workers-all-other"
"211092","Probation officers & correctional treatment specialists",2019,"2019","true","true",56596.4129299627,1957.0992428121842,892,"probation-officers-correctional-treatment-specialists"
"211093","Social & human service assistants",2019,"2019","true","true",37113.80775326204,1294.7722527682388,2239,"social-human-service-assistants"
"21109X","Miscellaneous community & social service specialists, including health educators & community health workers",2019,"2019","true","true",47875.24322661383,3612.1413437609554,948,"miscellaneous-community-social-service-specialists-including-health-educators-community-health-workers"
"212011","Clergy",2019,"2019","true","true",46681.15783434516,1382.4096326054873,5649,"clergy"
"212021","Directors, religious activities & education",2019,"2019","true","true",40467.999452281554,2856.759784498013,866,"directors-religious-activities-education"
"212099","Religious workers, all other",2019,"2019","true","true",26146.703199187246,1904.7090971848218,1072,"religious-workers-all-other"
"231012","Judicial law clerks",2019,"2019","true","true",58037.37902659699,8214.639822975532,256,"judicial-law-clerks"
"2310XX","Lawyers, & judges, magistrates, & other judicial workers",2019,"2019","true","true",164548.5984750808,3482.142215037406,11654,"lawyers-judges-magistrates-other-judicial-workers"
"232011","Paralegals & legal assistants",2019,"2019","true","true",51981.967504766,1354.9746343195968,4258,"paralegals-legal-assistants"
"232093","Title examiners, abstractors, and searchers",2019,"2019","true","true",62230.13344856624,4513.383672672866,886,"title-examiners-abstractors-and-searchers"
"232099","Legal support workers, all other",2019,"2019","true","true",52365.88010879287,4505.161741865399,527,"legal-support-workers-all-other"
"251000","Postsecondary teachers",2019,"2019","true","true",65491.593621773085,1312.1398808352492,15826,"postsecondary-teachers"
"252010","Preschool & kindergarten teachers",2019,"2019","true","true",29880.587996895036,744.3921594424647,8293,"preschool-kindergarten-teachers"
"252020","Elementary & middle school teachers",2019,"2019","true","true",49745.2827966913,413.1625921914112,30834,"elementary-middle-school-teachers"
"252030","Secondary school teachers",2019,"2019","true","true",55834.89709698384,640.5772852294776,14269,"secondary-school-teachers"
"252050","Special education teachers",2019,"2019","true","true",52261.132212532466,1073.9088117968813,4525,"special-education-teachers"
"253041","Tutors",2019,"2019","true","true",11762.98634064878,879.921758355702,2116,"tutors"
"2530XX","Other teachers and instructors",2019,"2019","true","true",40495.96613050139,1324.0998247679267,6682,"other-teachers-and-instructors"
"254010","Archivists, curators, & museum technicians",2019,"2019","true","true",54160.601300974355,3785.385829511122,860,"archivists-curators-museum-technicians"
"254022","Librarians and media collections specialists",2019,"2019","true","true",48630.486986379525,2024.3776116996987,2219,"librarians-and-media-collections-specialists"
